IdInstance;SWIDTag;updated;created
3;ORAC001;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
3;ORAC00;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
4;ORAC001;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
4;ORAC007;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
5;ORAC007;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
1;ORAC009;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
1;ORAC005;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
1;ORAC003;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
2;ORAC005;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
2;ORAC003;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
6;ORAC009;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
6;ORAC001;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
6;ORAC007;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
7;ORAC006;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
8;ORAC006;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
10;ORAC002;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
10;ORAC006;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
9;ORAC006;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
