IdApplication;SWIDTag;updated;created
6;ORAC005;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
6;ORAC002;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
6;ORAC010;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
7;ORAC008;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
7;ORAC010;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
8;ORAC004;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
8;ORAC001;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
8;ORAC010;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
8;ORAC003;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
9;ORAC002;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
9;ORAC001;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
10;ORAC008;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
