IdInstance;IdEquipment;updated;created
I1;SERV1;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
I1;SERV2;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
I1;SERV3;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
I2;SERV2;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
I2;SERV3;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
I2;SERV4;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
I2;SERV5;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
I2;SERV6;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
I3;SERV5;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
I3;SERV6;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
I3;SERV7;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
I3;SERV8;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
I3;SERV9;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
I3;SERV10;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
I3;SERV11;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
