IdApplication;IdInstance;Environment;updated;created
6;11;Development;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
7;12;Development;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
7;13;Test;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
7;14;Production;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
7;15;Development;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
8;16;Production;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
9;17;Test;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
9;18;Test;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
10;19;Production;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
10;20;Production;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
11;21;Production;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
11;22;Development;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
11;23;Production;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
