server_hostname;server_processorsNumber;server_coresNumber;parent_id;corefactor_oracle;sag;pvu;updated;created
SERV_0001;2;1;CL_001;0.75;1;1;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
SERV_0002;2;1;CL_001;1;1;1;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
SERV_0003;2;1;CL_002;0.75;1;1;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
SERV_0004;2;2;CL_002;1;1;1;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
SERV_0005;2;2;CL_003;1;1;1;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
SERV_0006;2;2;CL_003;1;1;1;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
SERV_0007;2;1;CL_004;1;1;1;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
SERV_0008;2;1;CL_004;1;1.5;1;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
SERV_0009;2;4;CL_005;1;1;1;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
SERV_0010;2;4;CL_005;1;1;1;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
SERV_0011;2;4;CL_006;1;1;1;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
SERV_0012;2;4;CL_006;1;1;1;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
