SWIDTag;IdEquipment;updated;created
WIN1;SERV1;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
WIN1;SERV2;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
WIN1;SERV3;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
WIN2;SERV2;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
WIN2;SERV3;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
WIN2;SERV4;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
WIN2;SERV5;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
WIN2;SERV6;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
WIN3;SERV5;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
WIN3;SERV6;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
WIN4;SERV7;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
WIN4;SERV8;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
WIN4;SERV9;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
WIN5;SERV7;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
WIN5;SERV8;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
WIN5;SERV9;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
WIN5;SERV10;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
WIN5;SERV11;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
WIN3;equip44_1;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
WIN3;equip44_2;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
WIN3;equip44_3;2019-08-27T09:58:56.0260078Z;2019-08-27T09:58:56.0260078Z
